,userId,movieId,tag,timestamp
0,3,260,classic,1439472355
1,3,260,sci-fi,1439472256
2,4,1732,dark comedy,1573943598
3,4,1732,great dialogue,1573943604
4,4,7569,so bad it's good,1573943455
5,4,44665,unreliable narrators,1573943619
6,4,115569,tense,1573943077
7,4,115713,artificial intelligence,1573942979
8,4,115713,philosophical,1573943033
9,4,115713,tense,1573943042
10,4,148426,so bad it's good,1573942965
11,4,164909,cliche,1573943721
12,4,164909,musical,1573943714
13,4,168250,horror,1573945163
14,4,168250,unpredictable,1573945171
15,19,2160,Oscar (Best Supporting Actress),1446909853
16,19,7099,adventure,1445286141
17,19,7099,anime,1445286127
18,19,7099,ecology,1445286153
19,19,7099,fantasy,1445286144
20,19,7099,Hayao Miyazaki,1445286120
21,19,7099,Miyazaki,1445286148
22,19,7099,post-apocalyptic,1445286136
23,20,1210,bah,1155082282
24,43,434,Clint Eastwood,1170492549
25,68,3481,music,1472113217
26,84,194728,art,1549387440
27,84,194728,contemporary art,1549387437
28,84,194728,documentary,1549387432
29,87,1127,aliens,1542308477
30,87,1127,amazing photography,1542308501
31,87,1127,Director: James Cameron,1542308487
32,87,1127,first contact,1542308468
33,87,1127,James Cameron,1542308492
34,87,1127,Michael Biehn,1542308483
35,87,1127,sci-fi,1542308464
36,87,6537,android(s)/cyborg(s),1542309549
37,87,6537,apocalypse,1542309703
38,87,6537,Arnold Schwarzenegger,1542309595
39,87,6537,artificial intelligence,1542309599
40,87,6537,franchise,1542309536
41,87,6537,terminator,1542309735
42,87,6537,time travel,1542309532
43,87,72998,James Cameron,1542308389
44,87,72998,sci-fi,1542308408
45,87,72998,science fiction,1542308395
46,87,79132,sci-fi,1522675497
47,87,102445,inferior sequel,1522677007
48,87,102445,setting:London (UK) (future),1522677058
49,87,102445,unoriginal,1522677043
50,87,104841,bad science,1522676752
51,87,109487,good science,1522676693
52,87,109487,Hans Zimmer,1522676679
53,87,109487,philosophical issues,1522676687
54,87,109487,sci-fi,1522676660
55,87,109487,science fiction,1522676703
56,87,109487,space,1522676664
57,87,109487,space travel,1522676685
58,87,109487,time-travel,1522676667
59,87,109487,visually appealing,1522676682
60,91,215,bittersweet,1415131183
61,91,215,boring,1415914643
62,91,215,conversation,1415131159
63,91,215,dialogue driven,1415131169
64,91,215,loneliness,1415131180
65,91,215,love story,1415131196
66,91,215,philosophical,1415131228
67,91,215,philosophy,1415131215
68,91,215,quirky,1415914797
69,91,215,reflective,1415131174
70,91,215,romantic,1415131173
71,91,215,thought-provoking,1415131203
72,91,215,Vienna,1415914755
73,91,215,wistful,1415914789
74,91,590,American Civil War,1414248567
75,91,590,based on book,1414248543
76,91,590,bittersweet,1414248546
77,91,590,culture clash,1414248582
78,91,590,drama,1414248538
79,91,590,indians,1414248604
80,91,590,love story,1414248535
81,91,590,war,1414248586
82,91,590,western,1414248596
83,91,1619,Buddhism,1389309614
84,91,1619,China,1389309619
85,91,1619,great cinematography,1389309592
86,91,1619,JOURNEY OF SELF-DISCOVERY,1389309596
87,91,1619,mountains,1389309610
88,91,1619,traveling,1389309607
89,91,1719,atmospheric,1414932665
90,91,1719,based on a book,1414932650
91,91,1719,Canada,1414932654
92,91,1719,death,1414932717
93,91,1719,Incest,1414932657
94,91,1719,meditative,1414932635
95,91,1719,melancholic,1414932660
96,91,1719,Nudity (Full Frontal),1414932679
97,91,1719,small town,1414932683
98,91,1719,wintry,1414932700
99,91,1962,aging,1414703813
100,91,1962,based on a play,1414703896
101,91,1962,boring,1414703922
102,91,1962,Drama,1414703854
103,91,1962,friendship,1414703861
104,91,1962,Morgan Freeman,1414703875
105,91,1962,no action,1414703922
106,91,1962,old age,1414703857
107,91,1962,racism,1414703880
108,91,1962,Southern theme,1414703882
109,91,1962,USA,1414703885
110,91,2324,bittersweet,1404508243
111,91,2324,emotional,1404508252
112,91,2324,heartwarming,1405162775
113,91,2324,Holocaust,1389309722
114,91,2324,Italy,1389309737
115,91,2324,love,1389309735
116,91,2324,Oscar (Best Foreign Language Film),1404508261
117,91,2324,Oscar Winner,1404508239
118,91,2324,sentimental,1389309725
119,91,2324,survival,1404508257
120,91,2628,adventure,1406474907
121,91,2628,fantasy,1406474916
122,91,2628,music,1406474905
123,91,2628,Natalie Portman,1406474902
124,91,2628,robots,1406474862
125,91,2628,sci-fi,1406474865
126,91,2628,space,1406474897
127,91,2628,Star Wars,1406474879
128,91,3148,abortion,1414335320
129,91,3148,based on a book,1414335090
130,91,3148,charlize theron,1414335302
131,91,3148,Drama,1414335121
132,91,3148,Incest,1414335124
133,91,3148,medicine,1414335340
134,91,3148,orphans,1414335312
135,91,3148,Tobey Maguire,1414335104
136,91,3481,based on a book,1399117141
137,91,3481,break-up,1399117159
138,91,3481,Catherine Zeta-Jones,1399117136
139,91,3481,funny,1399117119
140,91,3481,relationships,1399117124
141,91,4022,island,1400957839
