,movieId,tagId,relevance
0,1,1,0.0287499999999999
1,1,2,0.0237499999999999
2,1,3,0.0625
3,1,4,0.0757499999999999
4,1,5,0.14075
5,1,6,0.14675
6,1,7,0.0635
7,1,8,0.20375
8,1,9,0.202
9,1,10,0.03075
10,1,11,0.58025
11,1,12,0.1024999999999999
12,1,13,0.2017499999999999
13,1,14,0.007
14,1,15,0.0245
15,1,16,0.17275
16,1,17,0.0165
17,1,18,0.1039999999999999
18,1,19,0.6625
19,1,20,0.3007499999999999
20,1,21,0.31675
21,1,22,0.286
22,1,23,0.0627499999999999
23,1,24,0.0192499999999999
24,1,25,0.05875
25,1,26,0.0792499999999999
26,1,27,0.1965
27,1,28,0.09325
28,1,29,0.89375
29,1,30,0.67625
30,1,31,0.03575
31,1,32,0.23325
32,1,33,0.3075
33,1,34,0.0544999999999999
34,1,35,0.0379999999999999
35,1,36,0.212
36,1,37,0.08
37,1,38,0.0155
38,1,39,0.0195
39,1,40,0.0192499999999999
40,1,41,0.015
41,1,42,0.03
42,1,43,0.09075
43,1,44,0.0225
44,1,45,0.246
45,1,46,0.246
46,1,47,0.0105
47,1,48,0.16675
48,1,49,0.2935
49,1,50,0.15
50,1,51,0.26775
51,1,52,0.186
52,1,53,0.25725
53,1,54,0.15
54,1,55,0.2204999999999999
55,1,56,0.0142499999999999
56,1,57,0.0242499999999999
57,1,58,0.0292499999999999
58,1,59,0.0842499999999999
59,1,60,0.03375
60,1,61,0.6175
61,1,62,0.63
62,1,63,0.94725
63,1,64,0.98425
64,1,65,0.09975
65,1,66,0.0414999999999999
66,1,67,0.135
67,1,68,0.0339999999999999
68,1,69,0.0182499999999999
69,1,70,0.14525
70,1,71,0.0167499999999999
71,1,72,0.018
72,1,73,0.0595
73,1,74,0.0097499999999999
74,1,75,0.2012499999999999
75,1,76,0.0167499999999999
76,1,77,0.05925
77,1,78,0.0379999999999999
78,1,79,0.32925
79,1,80,0.0287499999999999
80,1,81,0.062
81,1,82,0.087
82,1,83,0.0359999999999999
83,1,84,0.3047499999999999
84,1,85,0.068
85,1,86,0.33625
86,1,87,0.0364999999999999
87,1,88,0.0057499999999999
88,1,89,0.0067499999999999
89,1,90,0.05275
90,1,91,0.03325
91,1,92,0.0207499999999999
92,1,93,0.3435
93,1,94,0.3622499999999999
94,1,95,0.074
95,1,96,0.0662499999999999
96,1,97,0.0817499999999999
97,1,98,0.064
98,1,99,0.1252499999999999
99,1,100,0.1054999999999999
100,1,101,0.0509999999999999
101,1,102,0.0122499999999999
102,1,103,0.0072499999999999
103,1,104,0.004
104,1,105,0.0235
105,1,106,0.0052499999999999
106,1,107,0.1634999999999999
107,1,108,0.03825
108,1,109,0.1952499999999999
109,1,110,0.0795
110,1,111,0.03625
111,1,112,0.019
112,1,113,0.501
113,1,114,0.0217499999999999
114,1,115,0.1745
115,1,116,0.0157499999999999
116,1,117,0.0055
117,1,118,0.027
118,1,119,0.0037499999999999
119,1,120,0.1235
120,1,121,0.31225
121,1,122,0.23125
122,1,123,0.01
123,1,124,0.0469999999999999
124,1,125,0.04275
125,1,126,0.0822499999999999
126,1,127,0.0469999999999999
127,1,128,0.368
128,1,129,0.2314999999999999
129,1,130,0.019
130,1,131,0.0167499999999999
131,1,132,0.29325
132,1,133,0.08975
133,1,134,0.04475
134,1,135,0.05425
135,1,136,0.09475
136,1,137,0.0657499999999999
137,1,138,0.3295
138,1,139,0.028
139,1,140,0.11525
140,1,141,0.11225
141,1,142,0.0122499999999999
142,1,143,0.16625
143,1,144,0.0857499999999999
144,1,145,0.079
145,1,146,0.0732499999999999
146,1,147,0.0202499999999999
147,1,148,0.03175
148,1,149,0.08
149,1,150,0.0255
150,1,151,0.0499999999999999
151,1,152,0.0807499999999999
152,1,153,0.04675
153,1,154,0.22925
154,1,155,0.05275
155,1,156,0.05375
156,1,157,0.0319999999999999
157,1,158,0.03625
158,1,159,0.021
159,1,160,0.18525
160,1,161,0.0185
161,1,162,0.1835
162,1,163,0.0827499999999999
163,1,164,0.2209999999999999
164,1,165,0.0579999999999999
165,1,166,0.0132499999999999
166,1,167,0.1405
167,1,168,0.0419999999999999
168,1,169,0.2269999999999999
169,1,170,0.55075
170,1,171,0.1134999999999999
171,1,172,0.533
172,1,173,0.063
173,1,174,0.0157499999999999
174,1,175,0.1935
175,1,176,0.1395
176,1,177,0.0414999999999999
177,1,178,0.0287499999999999
178,1,179,0.06075
179,1,180,0.0265
180,1,181,0.0494999999999999
181,1,182,0.03475
182,1,183,0.04875
183,1,184,0.03475
184,1,185,0.14575
185,1,186,0.95475
186,1,187,0.009
187,1,188,0.53625
188,1,189,0.0625
189,1,190,0.0247499999999999
190,1,191,0.1139999999999999
191,1,192,0.31225
192,1,193,0.8145
193,1,194,0.1325
194,1,195,0.5075
195,1,196,0.10875
196,1,197,0.026
197,1,198,0.074
198,1,199,0.1367499999999999
199,1,200,0.0157499999999999
